Elderly_sub1	Elderly_sub2	1_wasserstein_distance	2_wasserstein_distance	bottleneck_distance
32442	32493	0.44209332608648094	0.11070897942924116	0.04617274713233738
32442	32494	0.3814984944017528	0.11345469412117085	0.07124862841567914
32442	32495	0.6746931891225234	0.1441304674812617	0.04836105495108678
32442	32496	0.32497631522912984	0.0857983338364238	0.03786871008297665
32442	32497	0.4893737443809651	0.12574155530005063	0.06446451486408533
32442	32498	0.44702882566659374	0.11487582683022032	0.05521342262456813
32443	32447	0.37135774030929275	0.09483368139329107	0.04761634376821411
32443	32450	0.33269314097257147	0.09184252070021391	0.04368298915553859
32443	32452	0.23844291534344692	0.07358243065292525	0.03596017116694383
32443	32453	0.3538505548632285	0.0987474982985788	0.05287027892910445
32443	32454	0.39733323068868426	0.10358414562552128	0.05182315610418964
32443	32455	0.3551070519181375	0.10818399032806165	0.0735816082076648
32443	32457	0.21262651489757545	0.07665665987263233	0.04842011721243611
32443	32458	0.2955585732841093	0.0872649297802983	0.050185576659365794
32443	32459	0.41012885654629666	0.10898826107658784	0.053705726464443604
32443	32462	0.3134483456247501	0.09507154069805616	0.06242354093920077
32443	32463	0.35437216458252746	0.09692826292141772	0.050185576659365794
32443	32465	0.4829849246793862	0.1305519186570371	0.05653367458944658
32443	32466	0.4215380725526294	0.12133321638248702	0.0716815144931815
32443	32474	0.5672073854891455	0.1260935141149316	0.04766628082207536
32443	32475	0.3393326100087798	0.09730656250072166	0.06300703102226235
32443	32479	0.33843286087625274	0.10332654277991658	0.0546343448710126
32443	32482	0.23485643494903435	0.06568906356474338	0.028542431579001604
32443	32483	0.3425686518086438	0.08778196908640949	0.04616770148602933
32443	32484	0.3435432353198703	0.09173471008877963	0.050185576659365794
32443	32485	0.35617890058783347	0.09798320824042986	0.05735072495241833
32443	32486	0.54787727212422	0.13138896542000947	0.05535452724739831
32443	32487	0.3564063535297699	0.10551334133680007	0.07020427682523322
32443	32488	0.565530453839044	0.14069703680018936	0.053014478711506774
32443	32489	0.5528232187649869	0.14110831538509466	0.06315009965984208
32443	32490	0.548047685592979	0.14873117275506806	0.09502698660920106
32443	32491	0.4993017699777467	0.14664584526784583	0.07746119254450057
32443	32492	0.32566903988930285	0.10629807735283055	0.0707708242255225
32443	32493	0.4247800648376465	0.10844353000357407	0.04617274713233743
32443	32494	0.30574755961644384	0.08809061609012322	0.04072857598892399
32443	32495	0.509021472496298	0.1119204969483889	0.04710185225790864
32443	32496	0.3278250811780047	0.08491187111479725	0.03984873325350824
32443	32497	0.3954160747455623	0.10661063557331349	0.04816239620812102
32443	32498	0.2992279025606265	0.08085665626157769	0.0420365638689415
32447	32450	0.4545117208536963	0.11150333201592376	0.04368298915553859
32447	32452	0.3611634031004224	0.09154863729628661	0.044604673935525474
32447	32453	0.4115112166951635	0.1106385999735431	0.0598864327930238
32447	32454	0.42971296612606696	0.10603688350603727	0.04681709114659982
32447	32455	0.3848105820600688	0.10168589144439527	0.051562677849925964
32447	32457	0.36358455716278365	0.0927335576337645	0.04854064395176594
32447	32458	0.2933479687429254	0.07896211384126377	0.0410322883681159
32447	32459	0.6179449128616261	0.14823334984823072	0.06753455504990408
32447	32462	0.46093760133719736	0.11638042660833345	0.058979731239537814
32447	32463	0.3534315775383202	0.09463948254496064	0.04190876960996537
32447	32465	0.6219830932131681	0.14272723253116884	0.05653367458944658
32447	32466	0.4776462035369386	0.12329744466761455	0.06742188305734387
32447	32474	0.5359220145317471	0.12488178682601356	0.0569756108417529
32447	32475	0.467874975820761	0.11693959432407319	0.06300703102226235
32447	32479	0.46453179498150166	0.119540410061744	0.0546343448710126
32447	32482	0.3602811986318213	0.09816231462944126	0.05254287875309127
32447	32483	0.4634618223332488	0.1148026539505383	0.06636725677817801
32447	32484	0.4439922551137309	0.1047906458100743	0.04808140714255971
32447	32485	0.32242555733528594	0.08885374797243116	0.05735072495241833
32447	32486	0.4216886446212392	0.10837769385541927	0.06870301303385173
32447	32487	0.4347294115369213	0.11016204889639096	0.053856817422869074
32447	32488	0.39239151717404264	0.10873707437423709	0.06833387240071276
32447	32489	0.4836336533870573	0.12894505383924065	0.07408286074290482
32447	32490	0.5407938162310573	0.15883755947974207	0.1081148289887035
32447	32491	0.6017029028173675	0.1578193741727142	0.07305632174323695
32447	32492	0.3415961145277253	0.0941820681109553	0.04578717379968689
32447	32493	0.44320572360731075	0.10467308324740629	0.04558264771040377
32447	32494	0.399452883388446	0.10335197207784677	0.04901387129191681
32447	32495	0.6835413813304969	0.1466144087930746	0.049866792013236516
32447	32496	0.4042208754510127	0.10259958635890543	0.046649030808580294
32447	32497	0.602359776018814	0.14073343872589011	0.06446451486408533
32447	32498	0.4124149707008155	0.09794446571397468	0.035358203190466675
32450	32452	0.3915821223296442	0.0995119243566971	0.04172975202001106
32450	32453	0.39838144884331805	0.10346859977221813	0.044434106216519664
32450	32454	0.40959035433981605	0.09717931240900109	0.05182315610418964
32450	32455	0.38044483870545603	0.10682133987710943	0.048427640658451065
32450	32457	0.41567726330501753	0.1165620061255135	0.06575087859690415
32450	32458	0.39493625979808367	0.11264523802654068	0.05413524687328819
32450	32459	0.41505850939699523	0.10473743770359097	0.053705726464443604
32450	32462	0.4595214093795086	0.125987322528943	0.06466747753822533
32450	32463	0.4390001333851861	0.11498134726852506	0.055388980967076784
32450	32465	0.638246440111469	0.1529623005189439	0.059919438522528234
32450	32466	0.47067576974488107	0.129188280419398	0.05670355020823448
32450	32474	0.7149185105755698	0.15025316329710287	0.06412335373892186
32450	32475	0.36137312078750305	0.09670180248204792	0.06300703102226235
32450	32479	0.4631460271579752	0.13032820678019572	0.06575087859690415
32450	32482	0.3613608111859165	0.10140765755162495	0.047397642418591124
32450	32483	0.40374429896410846	0.10202834965192174	0.054516477764943616
32450	32484	0.4856340371136644	0.12932520070041795	0.06575087859690415
32450	32485	0.417668728162466	0.11287954655678889	0.05735072495241833
32450	32486	0.6416901006549862	0.1401597009933381	0.04752834598497557
32450	32487	0.5697053234585865	0.14553745715386998	0.07020427682523322
32450	32488	0.5526419058410091	0.13769070128521296	0.06287221979861879
32450	32489	0.5512657326915498	0.13913555913378084	0.05237069411860518
32450	32490	0.5562282226579116	0.13380476959630241	0.07807927801683401
32450	32491	0.4862313535379192	0.12695913456947255	0.06669369834417682
