Nodes	p_values	fdr_corrected_p_val	Young_mean	Young_sd	Elderly_mean	Elderly_sd
0	0.020177785965287496	0.05459871496489558	216.7516339869281	14.01618395079896	165.33333333333334	16.854760220692157
1	0.4604817970683127	0.6052046475754966	165.2156862745098	13.93714063178185	148.80555555555554	17.255826609900733
2	0.9124571742280703	0.9530948140147824	138.37254901960785	11.219787556513289	136.43055555555554	13.60816843649306
3	0.0037009129248423028	0.012160142467338994	243.4640522875817	14.112675682075556	180.61111111111111	16.0367408211315
4	0.12465619935139653	0.2389243820901767	110.10457516339869	10.559348561987674	86.79166666666667	10.815513286959936
5	0.9497586804473331	0.9530948140147824	165.4313725490196	12.04765207819935	164.09722222222223	17.366089035952378
6	0.07327265058702036	0.14654530117404072	94.66013071895425	8.918390087388731	68.38888888888889	11.519333879797692
7	0.2919055074047567	0.39493098060643556	192.9738562091503	12.96069827075959	169.84722222222223	17.609346062500826
8	0.009809576485945744	0.03008270122356695	297.91503267973854	14.686287618282437	232.58333333333334	20.19192681372197
9	0.00023084305579949661	0.0010618780566776845	150.22875816993465	11.054612751392497	86.77777777777777	12.73938574760265
10	6.058527017768775e-06	6.967306070434092e-05	112.640522875817	10.531169906154044	47.333333333333336	9.32301575930237
11	0.13984720730105857	0.2573188614339478	149.20261437908496	11.260485536900994	124.05555555555556	12.677347376245567
12	0.021374778669661563	0.054624434378023994	40.751633986928105	6.341382378069542	21.75	5.193695392587625
13	0.05119112761414348	0.11773959351253001	128.83006535947712	11.072597129572374	96.86111111111111	11.944958954599059
14	1.9340514404394228e-05	0.0001779327325204269	226.7450980392157	12.615897282496313	139.86111111111111	15.193011035774298
15	5.106271628732404e-06	6.967306070434092e-05	213.55555555555554	12.489045385232908	129.91666666666666	12.710215938444081
16	0.015849469565778047	0.04556722500161189	81.22222222222223	7.1832387068622845	52.611111111111114	9.273693496251855
17	0.001439840189197614	0.005519387391924186	163.9346405228758	11.062444615634371	109.58333333333333	12.621843567988517
18	0.5580620435390091	0.6755487895472215	146.281045751634	8.908999179721265	136.73611111111111	13.596191141584896
19	0.17109872098413	0.27139797121620624	111.43790849673202	10.425926039741059	87.81944444444444	13.649283666060718
20	0.9530948140147824	0.9530948140147824	147.54248366013073	10.105778637082949	146.47222222222223	15.090519417825682
21	0.4766812823861444	0.6090927497156289	75.0326797385621	7.5606902238858416	66.45833333333333	9.344998944980688
22	0.761770670329797	0.8343202579802539	82.58823529411765	8.329248376557372	78.06944444444444	12.325770527151018
23	0.0012419345487421898	0.005193544476558248	162.15032679738562	12.145587190601027	107.81944444444444	11.299925325360352
24	2.0804928675416927e-10	9.570267190691786e-09	76.01307189542484	7.720282899847166	18.86111111111111	3.6603287923861045
25	0.15770267593484194	0.27015875112599796	84.359477124183	8.72185440549469	66.08333333333333	9.480681081626892
26	0.0610307745359169	0.12760980130237168	37.07843137254902	5.66004233559943	21.041666666666668	6.3497266678077215
27	0.25033935067352714	0.35986281659319524	109.26797385620915	9.82576104927501	90.88888888888889	12.537963564413047
28	0.0001921469805686861	0.0010618780566776845	217.79738562091504	12.501095099870376	145.98611111111111	14.107463882256956
29	0.023355610156196	0.05654516143079032	131.48366013071896	9.980830028495605	94.48611111111111	12.705694031411959
30	0.0017727699534446262	0.006272878296804062	129.77777777777777	9.965960392665565	79.66666666666667	12.21780045209955
31	0.16444445720712922	0.27015875112599796	143.2941176470588	11.03876383694735	118.93055555555556	13.509072567100821
32	0.6853175738131625	0.7881152098851368	55.888888888888886	6.794982590372881	51.291666666666664	9.05779213693553
33	0.15926118395161454	0.27015875112599796	142.16339869281046	9.959284404395653	116.26388888888889	15.348673091547283
34	0.05964166836044263	0.12760980130237168	65.41830065359477	7.910890100307544	44.458333333333336	7.735376366745917
35	0.20282412794409865	0.3009648350138238	118.7516339869281	8.733425902136615	99.98611111111111	11.78732862946132
36	1.337491097964021e-06	3.0762295253172485e-05	127.60130718954248	9.144608697905685	68.875	7.469498161039856
37	3.842628014070471e-05	0.0002946014810787361	104.66666666666667	8.463005554783468	56.5	7.705936373930234
38	0.27349910564437996	0.3812411775648933	10.803921568627452	2.708585307378852	6.833333333333333	2.39628363802481
39	0.0002116410836841044	0.0010618780566776845	180.18300653594773	12.797963797304316	106.66666666666667	14.613058237361313
40	6.407006617389978e-05	0.00042103186342848424	120.31372549019608	8.3627780660575	63.90277777777778	10.883832457733147
41	0.9383964702183383	0.9530948140147824	91.11764705882354	8.073487195234321	92.25	12.193756419502295
42	0.7407185894531602	0.8310501247523261	110.9281045751634	9.099789368119007	105.13888888888889	14.89730502504449
43	0.5387385347129632	0.6697830431566569	60.61437908496732	6.672714775768461	53.44444444444444	9.531881453366713
44	0.1909107928510768	0.2927298823716511	139.43790849673204	10.416811475011464	116.76388888888889	13.761188264368759
45	0.6380762425080222	0.7526027475735646	63.76470588235294	7.218705901128456	58.236111111111114	9.246123686706397
