Nodes	p_values	fdr_corrected_p_val	Young_mean	Young_sd	Elderly_mean	Elderly_sd
0	0.030317068991711972	0.0875826437538346	56.745098039215684	5.153621547115326	40.111111111111114	5.61226146035238
1	0.0001409444920097149	0.0012215189307508624	65.40522875816994	5.301662267548577	38.75	4.380018918646304
2	0.3566364864979856	0.5151415916082015	82.57516339869281	4.980385441688842	75.02777777777777	6.46795919704031
3	0.4832387386852669	0.6612740634640495	70.15032679738562	4.783862795278668	64.11111111111111	7.1350036314932845
4	1.042352319873935e-05	0.0002710116031672231	78.55555555555556	5.409311819373105	45.513888888888886	4.917113970882007
5	0.6832560250623771	0.8120420805791982	69.62745098039215	4.671021872651664	73.61111111111111	8.545229831769324
6	0.02961265569380852	0.0875826437538346	68.66013071895425	4.496168182804215	53.291666666666664	5.37114084264104
7	0.24893102766564243	0.3922036687624311	44.52287581699346	4.004599232466271	36.041666666666664	6.132133911988061
8	0.1556961888394126	0.2698733939883152	60.372549019607845	3.950424665211661	51.111111111111114	5.151255053004983
9	0.05149302011568381	0.10298604023136762	56.77124183006536	4.06373899348339	44.083333333333336	5.03099742146357
10	0.9974742862793002	0.9974742862793002	53.94117647058823	4.284045682636314	53.916666666666664	6.432439002275644
11	0.006645691596295747	0.03455759630073788	62.60130718954248	4.234903983972263	43.75	5.38871444307293
12	0.8819497859629777	0.9554456014598924	46.65359477124183	3.988732413009622	45.611111111111114	5.76141296257565
13	0.03890216788271227	0.09195057863186537	53.52287581699346	4.5263445963411035	39.59722222222222	4.93160021113806
14	0.02570309715318649	0.0875826437538346	30.045751633986928	3.0372973886919192	20.13888888888889	3.191299397564657
15	0.9884191828948692	0.9974742862793002	31.444444444444443	2.927646132227978	31.52777777777778	4.9251030597886185
16	0.7183449174354446	0.8120420805791982	56.91503267973856	4.511165558738716	54.333333333333336	5.541598273431607
17	0.006091662790588576	0.03455759630073788	61.38562091503268	4.757556263987397	41.77777777777778	5.2219600040717
18	0.5862897863443917	0.7621767222477092	34.63398692810458	3.455498099664641	31.666666666666668	4.2037318542394475
19	0.2564408603446665	0.3922036687624311	69.7124183006536	4.044235038759301	61.083333333333336	6.399327221582663
20	3.1306544778590066e-05	0.00040698508212167085	70.93464052287581	5.2588866358113915	42.18055555555556	4.248185030338364
21	0.04779411870854505	0.10298604023136762	59.03921568627451	3.9815631427358364	46.81944444444444	4.660262473083641
22	0.03861636726827335	0.09195057863186537	29.065359477124183	3.0019583277244917	20.11111111111111	3.0777328629570766
23	0.024988366869737957	0.0875826437538346	43.705882352941174	3.2679722222218146	31.958333333333332	4.034594024640146
24	0.055721217537345255	0.10348226114078404	50.091503267973856	3.7203287742164903	39.05555555555556	4.356380067914462
25	0.7054542213947691	0.8120420805791982	35.947712418300654	3.490635549119903	33.861111111111114	4.2644995943397
