Nodes	p_values	fdr_corrected_p_val	Young_mean	Young_sd	Elderly_mean	Elderly_sd
0	0.1638274740366589	0.45124344049013193	108.17647058823529	5.796501127597965	94.23611111111111	8.101360350990587
1	0.9232435988325315	0.9434330435589667	98.69934640522875	5.147832486178538	97.65277777777777	9.53769311079329
2	0.002611435295923691	0.04773863243192188	81.08496732026144	5.3811704904510504	54.986111111111114	6.626625440767004
3	0.900935735844876	0.9434330435589667	60.18300653594771	4.596193496815973	61.236111111111114	7.083353854031461
4	0.2512090719726287	0.6060187747521346	26.901960784313726	3.6304947763035433	21.125	3.4672025531544794
5	0.7411814245330889	0.9434330435589667	73.15686274509804	4.661615628981532	70.04166666666667	8.173883883360109
6	0.5933872974462044	0.9434330435589667	48.96078431372549	4.1573464630838775	53.125	6.575816933962106
7	0.0329610787093289	0.16480539354664447	91.55555555555556	5.183864722850774	72.66666666666667	7.0791965274442274
8	0.9349682416410035	0.9434330435589667	61.751633986928105	4.309235618278691	61.09722222222222	6.745837403172419
9	0.8963443890728731	0.9434330435589667	38.549019607843135	3.678748520305658	39.388888888888886	5.27979123112558
10	0.878917701573124	0.9434330435589667	32.49673202614379	3.3582546741935624	33.43055555555556	5.114029400508757
11	0.16331516270494817	0.45124344049013193	31.38562091503268	3.6371610973686304	23.40277777777778	4.39014134731249
12	0.019803626952726573	0.1485272021454493	19.084967320261438	2.350591266263356	11.930555555555555	1.93975443213794
13	0.012165347534429216	0.12165347534429216	56.51633986928105	5.172149164945669	38.291666666666664	5.0113891219044655
14	0.0031825754954614587	0.04773863243192188	119.94117647058823	6.110074432543154	89.51388888888889	8.10653808505183
15	0.36556863337537804	0.783361357232953	77.15032679738562	4.9178823534385865	69.05555555555556	7.437293648296363
16	0.16545592817971502	0.45124344049013193	57.66013071895425	4.557785192946313	47.263888888888886	5.906284054825788
17	0.02990987600077815	0.16480539354664447	24.58823529411765	3.672894717816847	14.555555555555555	2.7541325393245386
18	0.457455944546882	0.8577298960254037	66.83006535947712	4.576141659137315	60.763888888888886	6.733133830527567
19	0.4060611677435477	0.8121223354870954	68.11764705882354	5.173519384205874	60.52777777777778	7.495459559957211
20	0.061570091655967475	0.23088784370987803	86.50326797385621	5.367057689020369	71.01388888888889	6.241096727570677
21	0.9434330435589667	0.9434330435589667	61.59477124183007	4.213089562202714	62.09722222222222	5.676708849809162
22	0.04300608351078781	0.1843117864748049	59.627450980392155	4.859983840179876	45.375	5.03149071999688
23	0.6462209724141363	0.9434330435589667	53.00653594771242	4.3999942999230734	49.68055555555556	5.739037532142471
24	0.5523684871356583	0.9434330435589667	76.24183006535948	5.020426337565479	71.23611111111111	6.741002612291323
25	0.6735810690763899	0.9434330435589667	35.1764705882353	3.517477098217694	37.611111111111114	4.572257447615484
26	0.9076012768496293	0.9434330435589667	42.26143790849673	3.6673323727450073	41.52777777777778	5.134915775778956
27	0.262608135725925	0.6060187747521346	24.627450980392158	2.799022544770816	19.430555555555557	3.6780567003670015
28	0.8395581717659768	0.9434330435589667	60.810457516339866	4.475199707412342	59.31944444444444	5.833193371523093
29	0.7913258385041317	0.9434330435589667	44.947712418300654	4.245120945822055	43.208333333333336	5.005823584329905
