Young_sub1	Young_sub2	1_wasserstein_distance	2_wasserstein_distance	bottleneck_distance
32302	32304	0.3769102695501034	0.10888732275908439	0.05816609788952809
32302	32307	0.3151260277975717	0.10114756336278227	0.05816609788952809
32302	32309	0.4079166506538288	0.12302246081334989	0.07093665761234136
32302	32310	0.343713294165308	0.1186230672925964	0.06255468938614589
32302	32311	0.44879078113188947	0.13716090551222754	0.06316124847141258
32302	32312	0.6544648071755987	0.15661360971061863	0.05957776080249477
32302	32313	0.37571773516851414	0.12337757322653263	0.06546248926130838
32302	32314	0.4581468194650142	0.1461212779587948	0.08253004624916538
32302	32315	0.39562431143082444	0.11632811828484531	0.07149282459231887
32302	32316	0.37815071669753264	0.1136219604320147	0.05816609788952809
32302	32317	0.4649844561818699	0.12059798407286103	0.05130345569648931
32302	32319	0.5501093076934274	0.1370029424397687	0.06283400215696422
32302	32320	0.6793317977226101	0.17161602150705052	0.07403578164051566
32302	32321	0.4800031006839973	0.12954474894451626	0.05816609788952809
32302	32322	0.5434610631322485	0.15350956012872904	0.08044817843553104
32302	32323	0.3969760473365001	0.10282134063477413	0.05130345569648931
32302	32324	0.5292973055368593	0.16260744778941755	0.07849912088053557
32302	32325	0.4692892883914054	0.13481123986740873	0.05887283564421242
32302	32326	0.31305522692241883	0.09689044439423015	0.05816609788952809
32302	32327	0.4139672637125372	0.12302948168203	0.06059449459258981
32302	32328	0.6279265708147967	0.1704097434173571	0.07271885006100476
32302	32330	0.41073711432715915	0.127394205589203	0.06257635274221995
32302	32332	0.35562171766983486	0.11534360200591023	0.05953520594111639
32302	32334	0.5080948886145831	0.12295287746001535	0.05130345569648931
32302	32344	0.4603938653367701	0.12806682142561251	0.0560690883852033
32302	32345	0.2957121572185798	0.09320156111962143	0.0581660978895282
32302	32346	0.4497461504119593	0.13583443649808685	0.06711074313930387
32302	32348	0.4275560942494921	0.12198637234172623	0.05816609788952809
32302	32349	0.34082979926623846	0.10594908761588177	0.05816609788952809
32302	32350	0.42845716558733876	0.1139872830919719	0.05130345569648931
32302	32351	0.5370297059305043	0.15121214577201902	0.07283766763635136
32302	32352	0.3824722389108575	0.11165850836132032	0.0581660978895282
32302	32353	0.3787902189976747	0.12026506933187248	0.06935849517882814
32302	32354	0.3998879473192868	0.12607327647135091	0.08344441623651866
32302	32355	0.29576139853112426	0.09113068290549176	0.05212326343736362
32302	32356	0.3904530236177321	0.11546718870922622	0.0581660978895282
32302	32357	0.34163763935033753	0.10898020850963995	0.05666140098119854
32302	32358	0.4949892780285828	0.14842370893305376	0.09195123340422184
32302	32359	0.4137042069930951	0.12256726472907559	0.06530894635128359
32302	32360	0.4023294756908358	0.11651474887240242	0.0581660978895282
32302	32361	0.5303885854330748	0.17128893410352963	0.10714374003827071
32302	32362	0.7246455005869532	0.18659256408914615	0.10050181100870459
32302	32363	0.44888498934096754	0.11686176149654058	0.0516297367083024
32302	32364	0.413566666172253	0.10896655278094015	0.042476498709068444
32302	32365	0.49786350505314675	0.1396317310976334	0.06342048110993292
32302	32366	0.47696160976683816	0.14077297210368891	0.0727181641732646
32302	32367	0.3626626745053508	0.12321165130158454	0.07964256841593731
32302	32368	0.5543757905057831	0.14876422774154588	0.05865860524269029
32302	32370	0.6244818900830658	0.15190877184569626	0.06497523061761368
32302	32371	0.3031840529836263	0.11421303077889222	0.0837428170291008
32302	32381	0.4579499877692052	0.12880497027952215	0.05816609788952809
32302	32382	0.4438143082428541	0.11383769318595695	0.05402638954676564
32302	32384	0.7606164017409496	0.20652537113139113	0.1018959523032198
32302	32385	0.5202285950431436	0.14970257430453632	0.07308899455085527
32302	32386	0.5074373110493271	0.15040115192281955	0.07675290226913001
32302	32387	0.4592160351820238	0.14183293381877488	0.08523266989192119
32302	32388	0.33600863811746806	0.09808343794406488	0.05130345569648931
32302	32389	0.5288163346163877	0.12673386012769755	0.05816609788952809
32302	32390	0.35899006519760607	0.12938557661081107	0.09126069647360979
32302	32391	0.46301646093328636	0.1346345384760464	0.05816609788952809
32302	32394	0.3633807395278322	0.09455138037097613	0.03967425202481201
32302	32396	0.3465924662740268	0.10141133341459159	0.0581660978895282
32302	32397	0.6942188380019703	0.1989495485723677	0.1152482673077373
32302	32398	0.614772778784425	0.18508821252145863	0.11795208021634596
32302	32399	0.30215031561811145	0.09741917898107827	0.05130345569648931
32302	32400	0.3234577163825665	0.1006162589152602	0.05816609788952809
32302	32401	0.4601949699631121	0.13214538850799643	0.07788486721606447
32302	32402	0.6743104645075626	0.14940292276899883	0.05468067661475451
32302	32404	0.6545156258950109	0.16006371153573323	0.06458855079993175
32302	32405	0.360700145179195	0.11095070128200428	0.05816609788952809
32302	32406	0.24965579948200417	0.09006242091107128	0.05816609788952809
32302	32407	0.3485033180001573	0.10474975508711427	0.05682209040885655
32302	32408	0.3825823956220666	0.11650117945856456	0.05816609788952809
32302	32409	0.39522259270150983	0.1180981656760211	0.05816609788952809
32302	32410	0.38292926217211354	0.1083871266060376	0.0581660978895282
32302	32411	0.4622286817053598	0.12608619956460562	0.0808226420825473
32302	32412	0.5523238542208613	0.16424425591117975	0.07022864036363918
32302	32413	0.6381665627211315	0.18535746191136304	0.08138214778174446
32302	32414	0.5739346311983125	0.15220795889015099	0.06624535658103448
32302	32416	0.46012220865159315	0.14278970109989855	0.06332903987275018
32302	32417	0.46288477769112807	0.15030701049068645	0.0932270510904808
32302	32418	0.35833180285533567	0.11195576077242252	0.05816609788952809
32302	32419	0.3580935693677477	0.10335907075255221	0.048334741961964967
32302	32420	0.3547170172155322	0.11110606178525399	0.05816609788952809
