Young	Elderly	1_wasserstein_distance	2_wasserstein_distance	bottleneck_distance
32302	32301	0.3387833507645853	0.08624408782993401	0.03816310858432065
32302	32303	0.3733214088229314	0.09529648341094087	0.04147141484960504
32302	32305	0.3219796688550311	0.0858727702590206	0.03816310858432065
32302	32306	0.29640087987058866	0.08481024341134322	0.04363953120347708
32302	32308	0.3120239208622128	0.0875658329864303	0.038163108584320704
32302	32318	0.40073459311138737	0.0973298555447789	0.03816310858432065
32302	32329	0.5173746123755212	0.13427810478431174	0.06982537046453718
32302	32331	0.4035430728905823	0.09889300573953319	0.03761416219433755
32302	32333	0.27851503769933006	0.07634148627334948	0.030434922509041673
32302	32335	0.35096651825550124	0.08711797441274813	0.03365023383956356
32302	32336	0.36010268475641927	0.09984873832275327	0.050663820350286604
32302	32337	0.38894755768327743	0.09117283119866677	0.038163108584320704
32302	32338	0.481559183228215	0.1351181585648758	0.07083302726076013
32302	32339	0.2749001054093284	0.07938426685790341	0.03365023383956356
32302	32340	0.37996170564001364	0.09157921426582796	0.03816310858432065
32302	32341	0.41642443204396445	0.0970160697905119	0.038184773803636274
32302	32342	0.5067786276920532	0.11577806602943506	0.045918389199710086
32302	32343	0.2941711366700781	0.07714175472169214	0.03365023383956356
32302	32347	0.37295984320267567	0.099423759118689	0.04774528852678461
32302	32369	0.32020712635532095	0.08300511744165136	0.03336006311355644
32302	32372	0.3034106246977657	0.0851948288282144	0.038163108584320704
32302	32373	0.29925231645295985	0.07825019399607491	0.032427907569364645
32302	32374	0.32553014718565937	0.0878361885351571	0.03816310858432065
32302	32375	0.2701575707627439	0.08039229956786748	0.038163108584320704
32302	32376	0.30705744340693225	0.08264825359516396	0.03365023383956356
32302	32377	0.3251955878768299	0.08702948228093146	0.03816310858432065
32302	32378	0.4112806578591758	0.09546778607685545	0.03816310858432065
32302	32379	0.3165350284457448	0.08657828674848936	0.03816310858432065
32302	32380	0.37453178126192405	0.09733276950285369	0.040469139676047705
32302	32383	0.2961300373018656	0.08408542503977418	0.03816310858432065
32302	32392	0.29584855582186986	0.07842245437159365	0.03246213228096961
32302	32393	0.4455345616055973	0.1159454203320007	0.05758013889875263
32302	32395	0.3319527954700925	0.08875528045781463	0.03517055880189324
32302	32415	0.40768666129820796	0.1073152491501407	0.04410699685053776
32302	32428	0.3381018427870664	0.09681038168551485	0.038163108584320704
32302	32430	0.33610861173086176	0.08599224107422983	0.03816310858432065
32302	32431	0.3545780706866508	0.09179010577130851	0.03816310858432065
32302	32442	0.35611887492585137	0.09005805834628478	0.03816310858432065
32302	32443	0.28536252372621584	0.08065642753807907	0.03816310858432065
32302	32447	0.37678945396702684	0.09669909493942681	0.03816310858432065
32302	32450	0.27619290871484947	0.0703466617616374	0.028294157456033253
32302	32452	0.33591955108610927	0.08821806855119883	0.03816310858432065
32302	32453	0.33150746462858494	0.08687330848005187	0.03816310858432065
32302	32454	0.3366806035247432	0.08775242944639851	0.03816310858432065
32302	32455	0.3499838086426692	0.09083697162107038	0.03816310858432065
32302	32457	0.32345627279860084	0.08857415404994695	0.03816310858432065
32302	32458	0.2738892236279026	0.08453104245508475	0.03365023383956356
32302	32459	0.5278085875265177	0.12608629153242523	0.055903365311675834
32302	32462	0.35959208654054525	0.09918109256665494	0.04125374790714398
32302	32463	0.24195058438394274	0.07165647732740459	0.032411525938248364
32302	32465	0.35299680490253166	0.09027211294852529	0.03816310858432065
32302	32466	0.3914758475439226	0.10171401004634313	0.038163108584320704
32302	32474	0.38701854765780297	0.10140643251412512	0.04898940174425198
32302	32475	0.4741423473627259	0.12074580467736991	0.05915753739049423
32302	32479	0.29018130740075493	0.08040794110616434	0.043333683628552055
32302	32482	0.24257805448030245	0.07361239740495136	0.034382105849061095
32302	32483	0.2990849751440993	0.08520698852605371	0.03816310858432065
32302	32484	0.3735626328584119	0.0908802625644004	0.03816310858432065
32302	32485	0.30772788421684105	0.08683991043440667	0.038163108584320704
32302	32486	0.33711908747399205	0.0910178993565367	0.037843294036497
32302	32487	0.2747316405466173	0.0796163505660985	0.03816310858432065
32302	32488	0.4526733519413931	0.1024891526761375	0.03365023383956356
32302	32489	0.30772580776418146	0.07848025815216807	0.03365023383956356
32302	32490	0.3180989279434386	0.0888763752907581	0.03935567816321961
32302	32491	0.38703760997203746	0.09724921902141563	0.038163108584320704
32302	32492	0.3344194610390723	0.09011413198660712	0.03688117864902263
32302	32493	0.27937910664705684	0.07975680277322351	0.03816310858432065
32302	32494	0.2643121192874902	0.08023561334886059	0.03365023383956356
32302	32495	0.31885408221190276	0.08582265758531514	0.03816310858432065
32302	32496	0.380633269753075	0.09289588872666073	0.03816310858432065
32302	32497	0.33486354855455236	0.08666170082979097	0.03816310858432065
32302	32498	0.3578894102375505	0.09045119634849957	0.03816310858432065
32304	32301	0.44721892264995766	0.14028476983468377	0.08230853525124554
32304	32303	0.43027362436172917	0.14068109170137658	0.08230853525124554
32304	32305	0.38399330737806087	0.13513295860516214	0.08230853525124554
32304	32306	0.3654250670118808	0.13038986960443807	0.08230853525124554
32304	32308	0.3685442663781986	0.11971806923117087	0.0715276142794401
32304	32318	0.4166135862923333	0.1362640283130015	0.08230853525124554
32304	32329	0.6486725805397676	0.17512117094015098	0.08230853525124554
32304	32331	0.4114534564224812	0.1266166051306165	0.07681497524581282
32304	32333	0.34562812039660706	0.12177058326184806	0.0715276142794401
32304	32335	0.3995730514949537	0.1267356227345571	0.0715276142794401
32304	32336	0.3522832185443807	0.12604856123810124	0.07996569230542683
