Birth	Death	1DHole
0.9780612597547697	1.0178003368967121	[[34,41], [24,39], [41,53], [39,40], [24,34], [40,53]]
0.9345615647209347	1.0190827380763066	[[157,173], [164,175], [146,157], [146,175], [164,173]]
0.9050965943342707	1.0196863880552147	[[123,136], [25,28], [20,25], [33,136], [26,34], [33,34], [26,28], [20,123]]
1.0201618372789596	1.0213847223515009	[[1,111], [1,6], [6,105], [105,111]]
1.0191883691275465	1.0275584846631889	[[60,63], [63,85], [60,66], [66,85]]
1.0194449152791061	1.0300703119409611	[[98,199], [38,199], [139,177], [38,139], [98,177]]
0.9695175477287298	1.0330534233662954	[[61,62], [181,183], [62,65], [60,183], [60,65], [61,181]]
1.0283527017824756	1.0348641226862374	[[168,179], [168,175], [170,179], [170,175]]
0.9449744146830763	1.0355765146291913	[[20,123], [18,44], [17,19], [19,20], [123,136], [44,136], [17,18]]
1.0237637853634001	1.0356902063380466	[[60,84], [84,189], [187,189], [60,187]]
0.9298405412940701	1.0361071044410981	[[85,160], [63,74], [65,91], [65,66], [60,183], [74,85], [60,66], [160,183], [63,91]]
1.0119603179528662	1.0384501403678417	[[15,115], [115,118], [16,118], [15,16]]
0.9022845662739256	1.0414169343593900	[[44,136], [34,144], [150,157], [53,157], [146,150], [154,155], [53,155], [144,146], [33,34], [44,149], [33,136], [149,154]]
1.0328716433388740	1.0440288982487513	[[7,197], [135,176], [176,197], [7,135]]
1.0190902830429884	1.0456318179154322	[[42,146], [31,164], [31,42], [146,164]]
0.8974114608907409	1.0456318179154322	[[45,164], [44,149], [33,44], [43,149], [34,146], [33,34], [43,45], [145,165], [165,175], [145,146], [164,175]]
1.0514407875213283	1.0528257335426312	[[75,186], [186,187], [75,77], [77,187]]
1.0131877476062308	1.0588955160415701	[[52,156], [21,28], [26,28], [149,156], [21,52], [26,149]]
1.0365088848900315	1.0590555536848798	[[43,52], [18,21], [18,43], [21,52]]
1.0171593183769507	1.0600387588389251	[[146,171], [102,137], [137,146], [4,175], [171,175], [4,8], [8,102]]
0.8772013068815742	1.0605113781384072	[[73,76], [62,92], [73,74], [66,91], [91,92], [165,170], [147,148], [60,80], [148,172], [172,189], [175,180], [180,189], [147,187], [62,145], [170,175], [74,80], [60,66], [145,165], [76,187]]
1.0452823140476357	1.0659497415851740	[[17,152], [17,20], [20,25], [25,125], [125,152]]
1.0655834408214913	1.0706299579976093	[[10,176], [7,70], [7,10], [70,176]]
1.0768739253417714	1.0795661835594705	[[18,22], [22,28], [14,28], [14,18]]
1.0377599750711659	1.0817392182105294	[[15,120], [15,16], [117,120], [16,117]]
1.0772256853101969	1.0890365233087318	[[26,28], [2,104], [28,104], [2,26]]
1.0288595781766854	1.0935735052008058	[[65,92], [167,172], [31,92], [31,164], [164,172], [65,167]]
0.9460316464124524	1.0972618511518761	[[98,199], [96,98], [96,197], [38,199], [176,197], [38,176]]
0.8560149429475565	1.1008828584814461	[[78,199], [63,74], [95,197], [36,38], [62,92], [96,98], [61,62], [38,139], [36,61], [98,199], [74,78], [139,176], [63,93], [95,96], [91,92], [91,93], [176,197]]
1.1005298936185381	1.1042674537823773	[[139,156], [139,142], [44,156], [44,142]]
1.0583544760271753	1.1085978994056023	[[79,181], [79,176], [135,176], [135,181]]
1.0644465488535473	1.1145668740983168	[[191,195], [87,89], [87,191], [179,195], [89,179]]
1.0867614738074585	1.1217460873910106	[[44,156], [79,176], [32,79], [32,142], [135,176], [44,142], [135,156]]
1.0331215931223037	1.1231070520246649	[[61,63], [65,92], [31,92], [63,65], [30,79], [61,181], [31,79], [36,181], [30,36]]
1.0702786084899978	1.1231224309093801	[[16,129], [128,129], [117,128], [16,117]]
1.1207542829804986	1.1247680658236960	[[124,125], [116,124], [125,152], [116,152]]
0.9874839453664036	1.1277983438297101	[[147,148], [7,197], [7,135], [135,148], [78,96], [96,197], [147,185], [78,185]]
1.1112324320433598	1.1284906186681811	[[63,195], [162,195], [57,162], [57,63]]
1.1097729849320452	1.1286906144153723	[[11,70], [11,17], [17,115], [70,115]]
1.1287752286990003	1.1304675993836413	[[52,97], [95,197], [95,97], [52,197]]
1.1240221242778108	1.1317677533554400	[[28,118], [28,131], [7,118], [7,131]]
1.0238695589144235	1.1404861633774626	[[87,89], [87,88], [50,89], [63,88], [60,66], [60,63], [50,66]]
1.1129917215125673	1.1424795551985689	[[135,197], [95,197], [7,95], [28,131], [52,156], [135,156], [28,118], [7,131], [52,118]]
1.1413173703329957	1.1427643347440057	[[83,118], [7,78], [7,118], [78,83]]
1.0828183659615689	1.1470131666746213	[[135,176], [44,142], [79,176], [16,115], [32,142], [135,197], [70,115], [32,79], [95,197], [18,118], [70,95], [44,156], [18,52], [52,156], [16,118]]
1.0957433569770481	1.1524016036589304	[[159,172], [54,87], [54,159], [91,92], [83,87], [91,193], [83,193], [92,167], [167,172]]
1.1529250654469683	1.1551035983401441	[[151,152], [115,152], [115,186], [151,186]]
1.1226610716215677	1.1617930294824712	[[57,162], [161,184], [57,184], [161,162]]
1.1430952974755628	1.1636942970174213	[[49,51], [49,86], [50,94], [50,51], [86,94]]
1.1177562640054912	1.1712984767109738	[[75,186], [95,96], [116,186], [115,116], [75,96], [95,115]]
1.1441882639496341	1.1812620414491939	[[87,184], [58,161], [161,184], [58,87]]
1.1474365303031486	1.1900204750549592	[[58,161], [54,87], [58,87], [54,161]]
1.1837770778848287	1.1912349749534483	[[44,47], [44,72], [47,51], [51,72]]
1.0645762485580907	1.1937250780682864	[[79,176], [87,88], [88,133], [73,74], [50,89], [21,52], [135,197], [21,28], [28,29], [32,142], [85,87], [7,95], [95,197], [87,89], [135,176], [7,96], [44,142], [32,79], [43,156], [73,78], [66,85], [74,87], [50,66], [52,156], [43,44], [78,96], [29,133]]
1.1119852800060117	1.1999862316330954	[[49,51], [49,188], [14,51], [147,188], [147,189], [43,173], [173,189], [14,43]]
1.1465205292629461	1.2033801813136431	[[10,100], [10,135], [100,162], [30,135], [31,57], [30,31], [57,162]]
1.1828311022378994	1.2190493868985104	[[85,113], [74,95], [95,113], [74,85]]
1.1734300704932659	1.2293074598033586	[[17,49], [77,188], [59,151], [17,151], [59,77], [49,188]]
1.2025433282490592	1.2324043593195464	[[55,158], [55,63], [62,158], [62,183], [63,183]]
1.2281600315025269	1.2388295518388073	[[132,133], [77,132], [73,77], [73,133]]
1.2736911478413391	1.2841232794772202	[[59,163], [58,186], [58,163], [59,77], [77,186]]
