Node_ID,Schaefer_ROI,MPI_LEMON,ABIDE
104,7Networks_RH_Vis_5,FALSE,FALSE
105,7Networks_RH_Vis_6,FALSE,FALSE
106,7Networks_RH_Vis_7,FALSE,FALSE
107,7Networks_RH_Vis_8,FALSE,FALSE
108,7Networks_RH_Vis_9,FALSE,FALSE
109,7Networks_RH_Vis_10,FALSE,FALSE
110,7Networks_RH_Vis_11,FALSE,FALSE
111,7Networks_RH_Vis_12,FALSE,FALSE
112,7Networks_RH_Vis_13,FALSE,FALSE
113,7Networks_RH_Vis_14,FALSE,FALSE
114,7Networks_RH_Vis_15,FALSE,FALSE
115,7Networks_RH_SomMot_1,FALSE,FALSE
116,7Networks_RH_SomMot_2,FALSE,FALSE
117,7Networks_RH_SomMot_3,FALSE,FALSE
118,7Networks_RH_SomMot_4,FALSE,FALSE
119,7Networks_RH_SomMot_5,FALSE,FALSE
120,7Networks_RH_SomMot_6,FALSE,FALSE
121,7Networks_RH_SomMot_7,FALSE,FALSE
122,7Networks_RH_SomMot_8,FALSE,FALSE
123,7Networks_RH_SomMot_9,FALSE,FALSE
124,7Networks_RH_SomMot_10,TRUE,TRUE
125,7Networks_RH_SomMot_11,TRUE,TRUE
126,7Networks_RH_SomMot_12,TRUE,FALSE
127,7Networks_RH_SomMot_13,FALSE,FALSE
128,7Networks_RH_SomMot_14,TRUE,TRUE
129,7Networks_RH_SomMot_15,FALSE,FALSE
130,7Networks_RH_SomMot_16,TRUE,TRUE
131,7Networks_RH_SomMot_17,TRUE,FALSE
132,7Networks_RH_SomMot_18,TRUE,FALSE
133,7Networks_RH_SomMot_19,TRUE,FALSE
134,7Networks_RH_DorsAttn_Post_1,FALSE,FALSE
135,7Networks_RH_DorsAttn_Post_2,FALSE,FALSE
136,7Networks_RH_DorsAttn_Post_3,FALSE,FALSE
137,7Networks_RH_DorsAttn_Post_4,FALSE,FALSE
138,7Networks_RH_DorsAttn_Post_5,FALSE,FALSE
139,7Networks_RH_DorsAttn_Post_6,TRUE,FALSE
140,7Networks_RH_DorsAttn_Post_7,TRUE,FALSE
141,7Networks_RH_DorsAttn_Post_8,FALSE,FALSE
142,7Networks_RH_DorsAttn_Post_9,TRUE,FALSE
143,7Networks_RH_DorsAttn_Post_10,TRUE,FALSE
144,7Networks_RH_DorsAttn_FEF_1,TRUE,TRUE
145,7Networks_RH_DorsAttn_FEF_2,FALSE,FALSE
146,7Networks_RH_DorsAttn_PrCv_1,FALSE,TRUE
147,7Networks_RH_SalVentAttn_TempOccPar_1,FALSE,FALSE
148,7Networks_RH_SalVentAttn_TempOccPar_2,FALSE,FALSE
149,7Networks_RH_SalVentAttn_TempOccPar_3,FALSE,FALSE
150,7Networks_RH_SalVentAttn_PrC_1,TRUE,TRUE
151,7Networks_RH_SalVentAttn_FrOperIns_1,FALSE,FALSE
152,7Networks_RH_SalVentAttn_FrOperIns_2,FALSE,FALSE
153,7Networks_RH_SalVentAttn_FrOperIns_3,FALSE,FALSE
154,7Networks_RH_SalVentAttn_FrOperIns_4,FALSE,FALSE
155,7Networks_RH_SalVentAttn_Med_1,FALSE,FALSE
156,7Networks_RH_SalVentAttn_Med_2,FALSE,FALSE
157,7Networks_RH_SalVentAttn_Med_3,TRUE,TRUE
158,7Networks_RH_Limbic_OFC_1,FALSE,FALSE
159,7Networks_RH_Limbic_OFC_2,FALSE,FALSE
160,7Networks_RH_Limbic_OFC_3,FALSE,FALSE
161,7Networks_RH_Limbic_TempPole_1,FALSE,FALSE
162,7Networks_RH_Limbic_TempPole_2,FALSE,FALSE
163,7Networks_RH_Limbic_TempPole_3,FALSE,FALSE
164,7Networks_RH_Cont_Par_1,TRUE,FALSE
165,7Networks_RH_Cont_Par_2,TRUE,FALSE
